search URL:,https://patents.google.com/?q=%28Quantum+Teleportation%29&oq=Quantum+Teleportation
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-108650081-A,"Information transferring method, apparatus and system based on quantum entanglement ",清华大学,"张巍, 姚鑫, 黄翊东, 冯雪, 刘仿, 崔开宇",2018-03-30,2018-03-30,2018-10-12,,https://patents.google.com/patent/CN108650081A/en,
CN-107070796-A,A kind of adaptive RIP routing protocols based on quantum teleportation ,河南理工大学,"王新良, 黄青改, 张伟, 张博, 梁策",2017-02-20,2017-02-20,2017-08-18,,https://patents.google.com/patent/CN107070796A/en,
CN-103357112-B,Quantum entanglement teleportation-based spinal cord injury nerve signal relay system and method ,西安邮电大学,"聂敏, 刘晓慧, 张琳, 张美玲",2013-07-05,2013-07-05,2015-02-18,2015-02-18,https://patents.google.com/patent/CN103357112B/en,
WO-2020140854-A1,Quantum teleportation system and method based on controllable oam in w state ,"华南师范大学, 广东尤科泊得科技发展有限公司","郭邦红, 曾炎颖",2018-12-31,2019-12-27,2020-07-09,,https://patents.google.com/patent/WO2020140854A1/en,https://patentimages.storage.googleapis.com/1c/41/bb/c8242a52d1341f/PCTCN2019129506-appb-300001.png
TW-I469547-B,A quantum entanglement establishment method ,Univ Nat Cheng Kung,"Tzone Lih Hwang, Hsin Yi Tseng",2012-05-02,2012-05-02,2015-01-11,2015-01-11,https://patents.google.com/patent/TWI469547B/en,
CN-107332628-A,Computer coding method based on quantum entanglement and least square method ,哈尔滨理工大学,"刘嘉辉, 董强, 宋大华",2017-07-05,2017-07-05,2017-11-07,,https://patents.google.com/patent/CN107332628A/en,
JP-5553948-B2,Quantum entanglement sharing method and quantum communication method ,雅紀 廣石,雅紀 廣石,2014-02-07,2014-03-03,2014-07-23,2014-07-23,https://patents.google.com/patent/JP5553948B2/en,
CN-110276207-A,A kind of encryption method based on quantum teleportation ,华南农业大学,"张猜, 司徒浩臻, 黄琼",2019-06-27,2019-06-27,2019-09-24,,https://patents.google.com/patent/CN110276207A/en,
CN-109711932-A,A kind of multigroup e-commerce endorsement method based on quantum teleportation ,成都信息工程大学,"张仕斌, 代金鞘",2018-12-18,2018-12-18,2019-05-03,,https://patents.google.com/patent/CN109711932A/en,
CN-209517160-U,A kind of quantum teleportation system based on SAM-path-OAM mixing W state ,华南师范大学,"曾炎颖, 郭邦红",2018-12-31,2018-12-31,2019-10-18,2019-10-18,https://patents.google.com/patent/CN209517160U/en,
CN-109951235-A,The quantum teleportation method of volume subsystem based on Quantum fourier transform ,西北大学,"曹正文, 张宸昊, 贺晨, 栾慧煦, 苏剑颖",2019-01-24,2019-01-24,2019-06-28,,https://patents.google.com/patent/CN109951235A/en,
JP-2007101674-A,Quantum correlation photon-pair generator and quantum entanglement photon pair generator ,"Nippon Telegr & Teleph Corp <Ntt>, 日本電信電話株式会社","Hiroki Takei, 弘樹 武居",2005-09-30,2005-09-30,2007-04-19,,https://patents.google.com/patent/JP2007101674A/en,https://patentimages.storage.googleapis.com/4f/2d/23/372bab9fc0e13f/2007101674-4.png
JP-2010210754-A,"Method of adjusting resonance wavelength of photonic crystal resonator, photonic crystal device, quantum entanglement photon pair generater and quantum memory ","Nec Corp, 日本電気株式会社","Masayuki Shirane, 昌之 白根",2009-03-09,2009-03-09,2010-09-24,,https://patents.google.com/patent/JP2010210754A/en,https://patentimages.storage.googleapis.com/df/a0/50/32a9e0b7e38fbc/2010210754-3.png
CA-2636394-A1,Quantum teleportation ,Gerard Voon,Gerard Voon,2008-08-01,2008-08-01,2010-02-01,,https://patents.google.com/patent/CA2636394A1/en,
US-7006267-B2,Techniques for high fidelity quantum teleportation and computing ,The Johns Hopkins University,"James D. Franson, Michelle M. Donegan, Michael J. Fitch, Bryan C. Jacobs, Todd B. Pittman",2002-12-09,2003-08-28,2006-02-28,2006-02-28,https://patents.google.com/patent/US7006267B2/en,https://patentimages.storage.googleapis.com/22/54/ea/7530ef300f9459/US07006267-20060228-D00000.png
US-2023327780-A1,Hybrid space-fiber quantum networks for widespread entanglement distribution ,"Amazon Technologies, Inc.","Mihir Keshav BHASKAR, Antia Lamas Linares, David Sarkis Levonian, Bartholomeus Johannes Machielse, Oskar Jon Painter",2021-12-10,2023-04-28,2023-10-12,,https://patents.google.com/patent/US20230327780A1/en,https://patentimages.storage.googleapis.com/0c/a0/e5/e50b108e18ee82/US20230327780A1-20231012-D00000.png
CN-108898708-A,Intelligent access control system based on quantum teleportation and WLAN ,河南理工大学,"蔡小琳, 张利伟, 余伟阳, 李晓华, 刘玉金, 王平, 杨晨, 王可",2018-06-21,2018-06-21,2018-11-27,,https://patents.google.com/patent/CN108898708A/en,
CN-108996465-A,A kind of Quantum Teleportation type high performance thin film perception material and preparation method thereof ,苏州纽劢特新材料科技有限公司,"周剑峰, 赵明国, 宋翔宇, 韩民",2018-08-14,2018-08-14,2018-12-14,,https://patents.google.com/patent/CN108996465A/en,
CN-110350984-A,A kind of classification method of the quantum teleportation system based on Schmidt's order relationship ,"西北大学, 西安微电子技术研究所","曹正文, 冯亚萍, 宋丹, 张同意, 唐磊, 罗迒哉, 曾贵华, 彭进业",2019-06-13,2019-06-13,2019-10-18,,https://patents.google.com/patent/CN110350984A/en,
JP-2015036781-A,Quantum teleportation optical circuit ,"日本電信電話株式会社, Nippon Telegr & Teleph Corp <Ntt>, 国立大学法人 東京大学, Univ Of Tokyo, 国立大学法人  東京大学","高橋　浩, Hiroshi Takahashi, 浩 高橋, 古澤　明, Akira Furusawa, 明 古澤",2013-08-14,2013-08-14,2015-02-23,,https://patents.google.com/patent/JP2015036781A/en,https://patentimages.storage.googleapis.com/a8/5d/05/c31d5db38812cd/2015036781-3.png
WO-2023212802-A1,Systems and methods for distributing quantum entanglement ,Photonic Inc.,"Evan MACQUARRIE, Stephanie Simmons",2022-05-05,2023-04-25,2023-11-09,,https://patents.google.com/patent/WO2023212802A1/en,
CN-207571724-U,Quantum Teleportation cloud intelligent interaction show window stream matchmaker manages system ,妫汭智能科技（上海）有限公司,宋佳星,2018-02-28,2018-02-28,2018-07-03,2018-07-03,https://patents.google.com/patent/CN207571724U/en,
KR-102068241-B1,Method for quantum entanglement transformation using machine learning and Quantum system using thereof ,경희대학교 산학협력단,"신현동, 정영민, 아마드 파쿼",2017-09-06,2017-09-06,2020-01-20,2020-01-20,https://patents.google.com/patent/KR102068241B1/en,https://patentimages.storage.googleapis.com/9c/be/28/c8f2763228ab3a/112017086630623-pat00086.png
KR-20230149628-A,Method and apparatus for counterfactual controlled quantum teleportation in an integrated quantum information processing system ,경희대학교 산학협력단,"신현동, 파카 자만, 낭 파잉 서",2022-04-20,2022-04-20,2023-10-27,,https://patents.google.com/patent/KR20230149628A/en,
JP-4464671-B2,"Quantum state generation device, quantum teleportation device, and control NOT operation device ",日本電信電話株式会社,裕己 徳永,2003-12-08,2003-12-08,2010-05-19,2010-05-19,https://patents.google.com/patent/JP4464671B2/en,https://patentimages.storage.googleapis.com/88/f5/9c/ddb644223a76fc/0004464671-4.png
US-2023188548-A1,Quantum entanglement distribution service ,"Amazon Technologies, Inc.","Mihir Keshav BHASKAR, Bartholomeus Johannes Machielse, David Sarkis Levonian, Antia Lamas Linares, Oskar Jon Painter",2021-12-10,2021-12-10,2023-06-15,,https://patents.google.com/patent/US20230188548A1/en,https://patentimages.storage.googleapis.com/cd/e9/28/1c7b68668ec616/US20230188548A1-20230615-D00000.png
KR-102381049-B1,System and method for port-based controlled quantum teleportation ,"경희대학교 산학협력단, 서울대학교산학협력단","이수준, 정갑균",2020-11-19,2020-11-19,2022-03-31,2022-03-31,https://patents.google.com/patent/KR102381049B1/en,https://patentimages.storage.googleapis.com/0f/62/f6/bfb0e36059342e/112020124604744-pat00028.png
JP-2017161646-A,"Quantum entanglement generation method, quantum entanglement generation system, quantum communication apparatus, quantum communication system, and projection measurement method ","富士通株式会社, Fujitsu Ltd","利雄 大島, Toshio Oshima, 利雄 大島",2016-03-08,2016-03-08,2017-09-14,,https://patents.google.com/patent/JP2017161646A/en,https://patentimages.storage.googleapis.com/ca/26/00/0a62580cc29746/2017161646-8.png
US-2023037977-A1,Quantum teleportation network using a system of electronically enabled graphene waveguides ,Abu Dhabi University,"Montasir Yousof Abdallah Qasymeh, Hichem El Euch, Muhammad Asjad",2021-07-03,2022-02-13,2023-02-09,,https://patents.google.com/patent/US20230037977A1/en,https://patentimages.storage.googleapis.com/48/71/86/4168c899b1bb1e/US20230037977A1-20230209-D00000.png
US-2023016333-A1,Continuous-variable quantum teleportation using microwave enabled plasmonic graphene waveguide ,Abu Dhabi University,"Montasir Yousof Abdallah Qasymeh, Hichem El Euch, Muhammad Asjad",2021-07-03,2021-07-03,2023-01-19,,https://patents.google.com/patent/US20230016333A1/en,https://patentimages.storage.googleapis.com/2d/76/95/aa9f8ea5adf417/US20230016333A1-20230119-D00000.png
WO-2022059735-A1,Quantum entanglement device ,"公立大学法人名古屋市立大学, 貴裕 松本","貴裕 松本, 昭夫 徳光",2020-09-18,2021-09-16,2022-03-24,,https://patents.google.com/patent/WO2022059735A1/en,https://patentimages.storage.googleapis.com/7d/b4/5b/9d6ffc5961fee0/JPOXMLDOC01-appb-D000022.png
US-7532400-B2,Long-distance quantum communication ,"Magiq Technologies, Inc.","Peter Zoller, Luming Duan, Ignacio Cirac, Mikhail D. Lukin",2002-05-20,2007-10-12,2009-05-12,2009-05-12,https://patents.google.com/patent/US7532400B2/en,https://patentimages.storage.googleapis.com/81/ad/3d/a69dcbddf17c96/US07532400-20090512-D00000.png
US-2009097862-A1,Quantum Repeater ,"Munro William J, Kae Nemoto, Peter Van Loock, Yoshihisa Yamamoto","William J. Munro, Kae Nemoto, Peter Van Loock, Yoshihisa Yamamoto",2005-08-12,2006-08-11,2009-04-16,,https://patents.google.com/patent/US20090097862A1/en,https://patentimages.storage.googleapis.com/06/6b/e8/baffb90c5b047f/US20090097862A1-20090416-D00000.png
US-7018852-B2,Methods for single qubit gate teleportation ,"D-Wave Systems, Inc., The Governing Council Of The University Of Toronto","Lian-Ao Wu, Daniel Lidar, Alexandre Blais",2002-08-01,2003-07-25,2006-03-28,2006-03-28,https://patents.google.com/patent/US7018852B2/en,https://patentimages.storage.googleapis.com/80/c1/b0/7851f135be1375/US07018852-20060328-D00000.png
US-7667995-B1,Teleportation system for electronic many-qubit states using individual photons ,"University Of Iowa Research Foundation, The Regents Of The University Of California","Michael N. Leuenberger, Michael E. Flatté, David D. Awschalom",2005-02-09,2006-02-09,2010-02-23,2010-02-23,https://patents.google.com/patent/US7667995B1/en,https://patentimages.storage.googleapis.com/fd/50/96/b2f4ed6ab9fad5/US07667995-20100223-D00000.png
JP-2009515205-A,Quantum information conversion between matter representation and light representation ,ヒューレット−パッカード  デベロップメント  カンパニー  エル．ピー．,"レイモンド，  ジー． ビューソレイル，, ジェイ． ムンロ，ウィリアム，, ピー． シュピラー，ティモシー，, 香絵 根元",2005-10-17,2006-07-21,2009-04-09,,https://patents.google.com/patent/JP2009515205A/en,https://patentimages.storage.googleapis.com/0c/88/ca/70b1f06c65be45/2009515205-21.png
JP-5068162-B2,Quantum optical state converter ,ヒューレット−パッカード  デベロップメント  カンパニー  エル．ピー．,"ビューソレイル，レイモンド，ジー, ムンロ，ウィリアム，ジェイ, スピラー，ティモシー，ピー, 香絵 根本",2004-04-30,2005-04-28,2012-11-07,2012-11-07,https://patents.google.com/patent/JP5068162B2/en,https://patentimages.storage.googleapis.com/6a/12/81/f11db3dbba7ed9/0005068162-22.png
GB-2488199-A,A tuneable quantum light source which mimimizes fine structure splitting (FSS) ,Toshiba Res Europ Ltd,"Anthony John Bennett, Martin Brian Ward, Andrew James Shields",2012-01-23,2012-01-23,2012-08-22,,https://patents.google.com/patent/GB2488199A/en,
US-9264226-B2,Method and apparatus for selectively routing entanglement building ,Hewlett Packard Enterprise Development Lp,"Keith Harrison, William Munro",2009-05-08,2009-10-26,2016-02-16,2016-02-16,https://patents.google.com/patent/US9264226B2/en,https://patentimages.storage.googleapis.com/0b/c8/69/abe16faafddd7d/US09264226-20160216-D00000.png
CN-111314068-B,Optimization method for preparing GHZ state based on non-maximum entangled Bell state ,苏州大学,"钱盈家, 姜敏, 杨甬, 陈虹, 张佳慧, 刘芹",2020-02-11,2020-02-11,2022-09-23,2022-09-23,https://patents.google.com/patent/CN111314068B/en,https://patentimages.storage.googleapis.com/2e/1e/d6/82e1ab6a72c3d8/HDA0002382433350000011.png
JP-5575253-B2,Tunable quantum light source ,株式会社東芝,"ベネット、アンソニー・ジョン, ワード、マーティン・ブライアン, シールズ、アンドリュー・ジェームズ",2009-11-06,2010-11-05,2014-08-20,2014-08-20,https://patents.google.com/patent/JP5575253B2/en,https://patentimages.storage.googleapis.com/c6/f1/2a/77bc812ab54b64/0005575253-6.png
US-11290368-B2,Federated messaging for quantum systems through teleportation ,"Red Hat, Inc.","Leigh Griffin, Stephen Coady",2019-05-21,2019-05-21,2022-03-29,2022-03-29,https://patents.google.com/patent/US11290368B2/en,https://patentimages.storage.googleapis.com/af/06/eb/e41344642accad/US11290368-20220329-D00000.png
JP-5079173-B1,"Hybrid superconductor-photon quantum repeater, method and system using the same ",インターナショナル・ビジネス・マシーンズ・コーポレーション,"ディヴィンセンゾ・デヴィッド, ホブス・フィリップ・チャールズ, クマー・シュヴェタンク",2009-09-21,2010-08-31,2012-11-21,2012-11-21,https://patents.google.com/patent/JP5079173B1/en,https://patentimages.storage.googleapis.com/da/0e/76/66a744ea72ff92/0005079173-5.png
US-8386899-B2,Quantum computing method and a quantum computer ,Kabushiki Kaisha Toshiba,"Hayato Goto, Kouichi Ichimura",2009-03-27,2010-03-25,2013-02-26,2013-02-26,https://patents.google.com/patent/US8386899B2/en,https://patentimages.storage.googleapis.com/1e/d6/1c/2b6ab07b678617/US08386899-20130226-D00000.png
CN-103414536-B,A kind of high fidelity quantum network coding method based on controlled Teleportation ,北京航空航天大学,"尚涛, 赵晓杰, 王朝, 黄福华, 林翔, 刘建伟",2013-08-05,2013-08-05,2016-03-30,2016-03-30,https://patents.google.com/patent/CN103414536B/en,
US-7173272-B2,Quantum optical CNOT gate ,The University Of Queensland,Timothy Cameron Ralph,2001-08-24,2002-08-20,2007-02-06,2007-02-06,https://patents.google.com/patent/US7173272B2/en,https://patentimages.storage.googleapis.com/72/cd/a4/b1aa89c4d3baaf/US07173272-20070206-D00000.png
JP-5526087-B2,"Quantum entanglement generation system, entanglement generation method ",日本電信電話株式会社,"浩司 東, 豪 加藤",2011-08-08,2011-08-08,2014-06-18,2014-06-18,https://patents.google.com/patent/JP5526087B2/en,https://patentimages.storage.googleapis.com/a7/0d/d3/12185c41637ac3/0005526087-131.png
JP-2011204900-A,Apparatus and method for generating quantum entanglement photon pair ,"Nec Corp, 日本電気株式会社","Masayuki Shirane, 昌之 白根, Yuichi Igarashi, 悠一 五十嵐, Akihiro Kirihara, 明宏 桐原",2010-03-25,2010-03-25,2011-10-13,,https://patents.google.com/patent/JP2011204900A/en,https://patentimages.storage.googleapis.com/6b/1e/a3/7dc87c3ed35e7d/2011204900-18.png
CN-110808831-B,Combined remote state preparation method based on seven-bit quantum channel ,苏州大学,"钱盈家, 姜敏, 锁珍, 张佳慧, 许智航",2019-11-04,2019-11-04,2021-07-27,2021-07-27,https://patents.google.com/patent/CN110808831B/en,https://patentimages.storage.googleapis.com/a2/d3/50/5491a1c035583b/HDA0002259859190000011.png
AU-2002328651-B2,Quantum optical CNOT gate ,The University Of Queensland,Timothy Cameron Ralph,2001-08-24,2002-08-20,2007-04-19,2007-04-19,https://patents.google.com/patent/AU2002328651B2/en,
AU-2002328651-A1,Quantum optical CNOT gate ,The University Of Queensland,Timothy Cameron Ralph,2001-08-24,2002-08-20,2003-06-05,,https://patents.google.com/patent/AU2002328651A1/en,
CN-110572219-B,Four-particle cluster state multi-hop invisible state transfer method based on non-maximum entangled cluster state ,苏州大学,"曹凌云, 姜敏, 李青, 夏志新",2019-09-02,2019-09-02,2020-07-14,2020-07-14,https://patents.google.com/patent/CN110572219B/en,https://patentimages.storage.googleapis.com/4c/15/ef/ac65597458a77f/HDA0002188733960000011.png
JP-4162687-B2,"Quantum information communication system, quantum information relay device, quantum information communication method and program ",株式会社東芝,憲一郎 古田,2006-06-09,2006-06-09,2008-10-08,2008-10-08,https://patents.google.com/patent/JP4162687B2/en,https://patentimages.storage.googleapis.com/82/3f/c9/392dac1f6fafab/0004162687-3.png
US-2011222848-A1,Method and Apparatus for Fault-Tolerant Quantum Communication Based on Solid-State Photon Emitters ,"Mikhail Lukin, Childress Lillian I, Taylor Jacob M, Sorensen Anders S","Mikhail Lukin, Lillian I. Childress, Jacob M. Taylor, Anders S. Sorensen",2005-10-11,2006-10-11,2011-09-15,,https://patents.google.com/patent/US20110222848A1/en,https://patentimages.storage.googleapis.com/b3/91/be/35daab0f3290e3/US20110222848A1-20110915-D00000.png
US-7266303-B2,Handling information in a noisy environment ,Universite Libre De Bruxelles,"Noah Linden, Sandu Popescu, Nicholas Robert Gisin, Serge Alexandre Massar",2000-10-04,2001-10-02,2007-09-04,2007-09-04,https://patents.google.com/patent/US7266303B2/en,https://patentimages.storage.googleapis.com/b7/d0/15/1b1c114172fc36/US07266303-20070904-D00000.png
US-11322648-B2,Photon source and a method of fabricating a photon source ,Kabushiki Kaisha Toshiba,"David Julian Peter Ellis, James Lee, Anthony John Bennett, Andrew James Shields",2016-10-14,2020-07-08,2022-05-03,2022-05-03,https://patents.google.com/patent/US11322648B2/en,https://patentimages.storage.googleapis.com/0c/cb/44/ca8b4e2ac28d3f/US11322648-20220503-D00000.png
US-2023214702-A1,Generation of Quantum Light States ,Technion Research & Development Foundation Limited,"Raphael Dahan, Alexey GORLACH, Gefen BARANES, Ron RUIMY, Ido Kaminer",2021-12-29,2022-12-28,2023-07-06,,https://patents.google.com/patent/US20230214702A1/en,https://patentimages.storage.googleapis.com/92/76/75/6cb278b27e204f/US20230214702A1-20230706-D00000.png
US-6728281-B1,Quantum-dot photon turnstile device ,"The Board Of Trustees Of The Leland Stanford Junior University, Japan Science And Technology Corporation","Charles Santori, Oliver Benson, Yoshihisa Yamamoto, Matthew Pelton, Jungsang Kim",2000-02-10,2001-02-09,2004-04-27,2004-04-27,https://patents.google.com/patent/US6728281B1/en,https://patentimages.storage.googleapis.com/43/84/18/75a661ba0ae310/US06728281-20040427-D00000.png
JP-5496921-B2,Quantum operation method and quantum operation device ,日本電信電話株式会社,"泰人 河野, 康博 高橋, 豪 加藤",2011-01-06,2011-01-06,2014-05-21,2014-05-21,https://patents.google.com/patent/JP5496921B2/en,https://patentimages.storage.googleapis.com/73/00/84/71e96fb3b144ff/0005496921-51.png
US-9800399-B2,Method and device for synchronizing entanglement sources for a quantum communication network ,"Centre National de la Recherche Scientifique—CNRS, Université de Nice Sophia Antipolis","Sébastien Tanzilli, Virginia D'Auria, Olivier Alibart, Anthony Christophe Mickaël Martin, Laurent Labonte",2011-09-30,2012-09-28,2017-10-24,2017-10-24,https://patents.google.com/patent/US9800399B2/en,https://patentimages.storage.googleapis.com/a7/4d/9f/447363c3cf7a26/US09800399-20171024-D00000.png
JP-4784750-B2,Quantum memory device and communication information setting system ,日本電気株式会社,明宏 桐原,2006-06-08,2006-06-08,2011-10-05,2011-10-05,https://patents.google.com/patent/JP4784750B2/en,https://patentimages.storage.googleapis.com/9f/4e/0e/c85a91e5df2aac/0004784750-75.png
US-11790221-B2,Quantum optical neural networks ,Massachusetts Institute Of Technology,"Jacques Johannes Carolan, Gregory R. STEINBRECHER, Dirk Robert Englund",2019-05-23,2020-03-23,2023-10-17,2023-10-17,https://patents.google.com/patent/US11790221B2/en,https://patentimages.storage.googleapis.com/8b/80/44/258820ead3bbd3/US11790221-20231017-D00000.png
US-11037068-B2,Techniques for quantum error correction using bosonic modes and related systems and methods ,Yale University,"Steven M. Girvin, Liang Jiang, Marios H. Michael, Matti Silveri, Richard T. Brierley, Victor V. Albert, Juha Salmilehto",2015-12-04,2016-12-02,2021-06-15,2021-06-15,https://patents.google.com/patent/US11037068B2/en,https://patentimages.storage.googleapis.com/ad/de/0b/abad4de0294d5d/US11037068-20210615-D00000.png
US-2021058244-A1,The One-Qubit Pad (OQP) for entanglement encryption of quantum information ,Compsecur Sp. Z.O.O.,"Janusz JACAK, Witold JACAK",2017-12-30,2017-12-31,2021-02-25,,https://patents.google.com/patent/US20210058244A1/en,https://patentimages.storage.googleapis.com/35/3c/02/131d6886d43033/US20210058244A1-20210225-D00000.png
KR-20090090326-A,"Systems, methods and apparatus for local programming of quantum processor elements ","디-웨이브 시스템즈, 인코포레이티드","앤드류 제이. 버클리, 폴 아이. 뷰닉, 조디 로즈",2006-12-05,2007-12-04,2009-08-25,,https://patents.google.com/patent/KR20090090326A/en,https://patentimages.storage.googleapis.com/e1/43/b6/d66261b5b46c7f/112009033997936-PCT00001.png
US-8611974-B2,"Systems, methods and apparatus for superconducting demultiplexer circuits ",D-Wave Systems Inc.,"Felix Maibaum, Paul I. Bunyk, Thomas Mahon",2008-06-03,2009-06-02,2013-12-17,2013-12-17,https://patents.google.com/patent/US8611974B2/en,https://patentimages.storage.googleapis.com/60/93/a2/f41f923fd38fb6/US08611974-20131217-D00000.png
