search URL:,https://patents.google.com/?q=%28Quantum+Supremacy%29&oq=Quantum+Supremacy
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-105553648-B,"Quantum key distribution, privacy amplification and data transmission method, apparatus and system ",阿里巴巴集团控股有限公司,"付颖芳, 刘栓林, 高亚滨, 肖力, 庞俊英, 陈秀忠, 冯亮",2014-10-30,2014-10-30,2019-10-29,2019-10-29,https://patents.google.com/patent/CN105553648B/en,
US-2020349460-A1,Coupling of rational agents to quantum processes ,"Mind Over Matter Ai, Llc.",Michael Levin,2010-10-04,2020-06-24,2020-11-05,,https://patents.google.com/patent/US20200349460A1/en,https://patentimages.storage.googleapis.com/73/fc/6c/417d517abb8fe1/US20200349460A1-20201105-D00000.png
CN-108256651-B,Method for quantum processing of data ,D-波系统公司,"乔迪·罗斯, 苏珊娜·吉尔德特, 威廉·G·麦克雷迪, 多米尼克·克里斯托夫·瓦利曼",2013-06-28,2014-06-26,2022-09-06,2022-09-06,https://patents.google.com/patent/CN108256651B/en,https://patentimages.storage.googleapis.com/87/bf/ca/0b02f0b3d23c53/HDA0001574281740000011.png
JP-6961264-B2,Random number generation using quantum optics effect in mirror cavity system ,ワイ． スカーレット，キャロル,ワイ． スカーレット，キャロル,2015-03-04,2020-07-02,2021-11-05,2021-11-05,https://patents.google.com/patent/JP6961264B2/en,https://patentimages.storage.googleapis.com/dc/e1/d9/99da78e9e438fc/0006961264-2.png
CN-103971174-B,Hydropower station group optimized dispatching method based on improved quantum-behaved particle swarm algorithm ,大连理工大学,"程春田, 冯仲恺, 廖胜利, 牛文静, 武新宇, 李刚, 申建建",2014-05-06,2014-05-06,2017-04-12,2017-04-12,https://patents.google.com/patent/CN103971174B/en,
CN-103383074-B,LED lamps with improvement light quality ,天空公司,"奥雷利安·J·F·戴维, 特洛伊·A·特罗蒂尔, 迈克尔·拉甘·克拉梅什, 阿尔潘·查克拉博尔蒂",2012-05-04,2013-05-06,2017-10-24,2017-10-24,https://patents.google.com/patent/CN103383074B/en,
KR-102354816-B1,Optoelectronic devices with organometal perovskites with mixed anions ,옥스포드 유니버시티 이노베이션 리미티드,"헨리 스네이스, 마이클 리, 타쿠로 무라카미",2012-05-18,2013-05-20,2022-01-24,2022-01-24,https://patents.google.com/patent/KR102354816B1/en,https://patentimages.storage.googleapis.com/b2/ce/e5/23f15ce139ea71/112017049290400-pat00002.png
US-10238542-B2,System and process for retina phototherapy ,"Ojai Retinal Technology, Llc","Jeffrey K. Luttrull, Benjamin W. L. Margolis",2012-05-25,2016-06-21,2019-03-26,2019-03-26,https://patents.google.com/patent/US10238542B2/en,https://patentimages.storage.googleapis.com/e2/95/e9/f705d0bb56fec8/US10238542-20190326-D00000.png
JP-6492212-B1,Battle distribution system ,"株式会社Ｑｕａｎｔｕｍ Ｂａｎｋ, 株式会社Ｑｕａｎｔｕｍ  Ｂａｎｋ","茂智 藤井, 茂智 藤井",2018-05-31,2018-05-31,2019-03-27,2019-03-27,https://patents.google.com/patent/JP6492212B1/en,https://patentimages.storage.googleapis.com/55/ae/e8/8d336353e70d54/0006492212-2.png
US-9875440-B1,Intelligent control with hierarchical stacked neural networks ,Michael Lamport Commons,Michael Lamport Commons,2010-10-26,2015-04-20,2018-01-23,2018-01-23,https://patents.google.com/patent/US9875440B1/en,https://patentimages.storage.googleapis.com/36/90/87/eb5443bcd84529/US09875440-20180123-D00000.png
JP-2021122059-A,Light emitting structure with selective carrier injection into multiple active layer ,"オステンド・テクノロジーズ・インコーポレーテッド, Ostendo Technologies Inc","エル−ゴロウリー，フセイン・エス, S El-Ghoroury Hussein, キーシン，ミハイル・ブイ, V Kisin Mikhail, イェ，イャ−チュアン・ミルトン, Milton Yeh Yea-Chuan, チュアン，チー−リ, Chih-Li Chuang, チェン，ジ−チァ, Jyh-Chia Chen",2015-06-05,2021-05-12,2021-08-26,,https://patents.google.com/patent/JP2021122059A/en,https://patentimages.storage.googleapis.com/b1/f5/33/416017b006a6f1/2021122059-11.png
CN-106199789-B,A kind of prism film of stimulated luminescence ,宁波激智科技股份有限公司,"李轮, 马子盈, 李刚, 唐海江, 张彦",2015-07-22,2015-07-22,2019-05-14,2019-05-14,https://patents.google.com/patent/CN106199789B/en,
US-9711681-B2,Nitride semiconductor ,Mitsubishi Chemical Corporation,"Hideyoshi Horie, Kaori Kurihara",2008-11-20,2015-10-23,2017-07-18,2017-07-18,https://patents.google.com/patent/US9711681B2/en,https://patentimages.storage.googleapis.com/bd/44/5f/0d22925405842a/US09711681-20170718-D00000.png
CN-111464154-B,Control pulse calculation method and device ,华为技术有限公司,"龙桂鲁, 张飞昊, 高攀, 陈迪青",2019-01-22,2019-01-22,2022-04-22,2022-04-22,https://patents.google.com/patent/CN111464154B/en,https://patentimages.storage.googleapis.com/c7/d5/08/74a802c9c255f6/HDA0001953922510000011.png
CN-105358654-B,Organic electroluminescent compounds and Organnic electroluminescent device comprising the compound ,罗门哈斯电子材料韩国有限公司,"S-J·杨, D-H·文, J-S·俊, H-C·安, T-J·李, C-S·金, Y－J·曹, K-J·李",2013-07-25,2014-07-24,2019-05-07,2019-05-07,https://patents.google.com/patent/CN105358654B/en,
US-9078879-B2,Anti CD37 antibodies ,Boehringer Ingelheim International Gmbh,"Karl-Heinz Heider, Eric Borges, Elinborg Ostermann",2007-08-09,2013-08-23,2015-07-14,2015-07-14,https://patents.google.com/patent/US9078879B2/en,https://patentimages.storage.googleapis.com/34/cc/a5/c932ee416b5731/US09078879-20150714-D00001.png
CN-104349815-B,Device for adjusting blood pressure and heart rate ,安特罗麦迪克斯公司,"A.P.唐德斯, K.S.特威登, M.B.克努森, A.W.桑顿",2012-03-07,2013-03-04,2017-07-28,2017-07-28,https://patents.google.com/patent/CN104349815B/en,
CN-102347607-B,Self-adaptive current limiter and the dimmer system comprising this self-adaptive current limiter ,半导体元件工业有限责任公司,J·R·杨,2010-07-28,2011-07-14,2016-01-20,2016-01-20,https://patents.google.com/patent/CN102347607B/en,
US-9065239-B2,Multibeam array of top emitting VCSEL elements ,Trilumina Corp.,"John R. Joseph, Kevin L. Lear",2012-04-17,2013-04-17,2015-06-23,2015-06-23,https://patents.google.com/patent/US9065239B2/en,https://patentimages.storage.googleapis.com/be/a7/0c/59f22b2c6a0f92/US09065239-20150623-D00000.png
CN-205883055-U,Power conversion device ,苹果公司,V·法德克,2015-06-15,2016-06-15,2017-01-11,2017-01-11,https://patents.google.com/patent/CN205883055U/en,
JP-6254107-B2,Electronic element ,"メルク パテント ゲーエムベーハー, メルク  パテント  ゲーエムベーハー","プフルム、クリストフ, フォゲス、フランク, クロエバー、ヨナス・バレンティン, ストエッセル、フィリップ, カイザー、ヨアヒム",2012-03-15,2013-03-05,2017-12-27,2017-12-27,https://patents.google.com/patent/JP6254107B2/en,https://patentimages.storage.googleapis.com/7a/14/64/6a072f39379b4d/0006254107-45.png
US-11335838-B2,Light emitting apparatus ,"Suzhou Lekin Semiconductor Co., Ltd.","Kwang Ki CHOI, Hwan Hee Jeong, Sang Youl Lee, June O Song",2009-12-09,2018-01-23,2022-05-17,2022-05-17,https://patents.google.com/patent/US11335838B2/en,https://patentimages.storage.googleapis.com/22/d6/f1/46eda7367c5a03/US11335838-20220517-D00000.png
JP-7138654-B2,metal complex ,メルク パテント ゲゼルシャフト ミット ベシュレンクテル ハフツング,"フィリップ、ステッセル, アルミン、アウホ, ファルク、マイ, ヨッヘン、フィスター",2017-03-29,2018-03-26,2022-09-16,2022-09-16,https://patents.google.com/patent/JP7138654B2/en,
JP-6364348-B2,2-pore device ,"ザ リージェンツ オブ ザ ユニバーシティ オブ カリフォルニア, ザ  リージェンツ  オブ  ザ  ユニバーシティ  オブ  カリフォルニア","ダンバー，ウィリアム, キム，ユンスク",2011-07-20,2012-07-18,2018-07-25,2018-07-25,https://patents.google.com/patent/JP6364348B2/en,https://patentimages.storage.googleapis.com/ee/b4/30/167a8d6728de4a/0006364348-2.png
JP-6495259-B2,Materials for electronic devices ,"メルク パテント ゲーエムベーハー, メルク  パテント  ゲーエムベーハー","ヤトシュ、アンヤ, プフルム、クリストフ, エベルレ、トマス, パルハム、アミア・ホサイン, クロエベル、ヨナス・バレンティン, ストエッセル、フィリップ, カイザー、ヨアヒム",2013-07-02,2014-06-11,2019-04-03,2019-04-03,https://patents.google.com/patent/JP6495259B2/en,
US-11048996-B2,"Information processing apparatus, ising device, and information processing apparatus control method ",Fujitsu Limited,"Hirotaka Tamura, Satoshi Matsubara",2016-06-06,2017-05-26,2021-06-29,2021-06-29,https://patents.google.com/patent/US11048996B2/en,https://patentimages.storage.googleapis.com/5e/39/6d/b78d36692b65da/US11048996-20210629-D00000.png
JP-6342419-B2,Materials for organic electroluminescent devices ,"メルク パテント ゲーエムベーハー, メルク  パテント  ゲーエムベーハー","ヤトシュ、アンヤ, プフルム、クリストフ, パルハム、アミア・ホサイン, エベルレ、トマス, ストエッセル、フィリップ, クロエベル、ヨナス・バレンティン, リンゲ、ルーベン",2012-12-21,2013-11-27,2018-06-13,2018-06-13,https://patents.google.com/patent/JP6342419B2/en,
US-9157856-B2,Integrated photonic crystal structures and their applications ,"Yunbo Guo, Harish Subbaraman, Ray T. Chen","Yunbo Guo, Harish Subbaraman, Ray T. Chen",2012-09-10,2013-09-10,2015-10-13,2015-10-13,https://patents.google.com/patent/US9157856B2/en,https://patentimages.storage.googleapis.com/8e/d4/cd/cbc467d1b36bfb/US09157856-20151013-D00000.png
US-10450650-B2,Method of manufacturing large area graphene and graphene-based photonics devices ,The United States of America as represented by the Admininstrator of the National Aeronautics and Space Administration,"Mahmooda Sultana, Mary J. Li, Anthony W. Yu",2015-09-24,2015-09-24,2019-10-22,2019-10-22,https://patents.google.com/patent/US10450650B2/en,https://patentimages.storage.googleapis.com/52/f0/94/9a767d1940d322/US10450650-20191022-D00000.png
JP-6239522-B2,Organic electroluminescence device ,"メルク パテント ゲーエムベーハー, メルク  パテント  ゲーエムベーハー","パルハム、アミア・ホサイン, プフルム、クリストフ, ヤトシュ、アンヤ, エベルレ、トマス, ストエッセル、フィリップ",2011-11-01,2012-10-11,2017-11-29,2017-11-29,https://patents.google.com/patent/JP6239522B2/en,
JP-6802889-B2,Composite material and light emitting device ,株式会社半導体エネルギー研究所,"香 荻田, 香 荻田, 瀬尾　哲史, 哲史 瀬尾, 広美 瀬尾, 広美 瀬尾, 辰義 高橋, 辰義 高橋",2013-03-26,2019-08-05,2020-12-23,2020-12-23,https://patents.google.com/patent/JP6802889B2/en,
JP-7179813-B2,materials for electronic devices ,メルク パテント ゲーエムベーハー,"アミア・ホサイン・パルハム, トビアス・グロスマン, アンヤ・ヤトシュ, トマス・エベルレ, ヨナス・バレンティン・クロエベル, クリストフ・プフルム, ラルス・ドーベルマン",2014-04-30,2020-11-04,2022-11-29,2022-11-29,https://patents.google.com/patent/JP7179813B2/en,
JP-7167200-B2,Materials for organic electroluminescent devices ,メルク パテント ゲーエムベーハー,"エルビラ・モンテネグロ, アミア・ホサイン・パルハム, アンヤ・ヤトシュ, クリストフ・プフルム, ヨナス・バレンティン・クロエベル, トマス・エベルレ",2012-08-10,2021-01-27,2022-11-08,2022-11-08,https://patents.google.com/patent/JP7167200B2/en,
AU-2021277605-B2,Quinone methide analog signal amplification ,"Ventana Medical Systems, Inc.","Julia Ashworth-Sharpe, Christopher Bieniarz, Brian D. Kelly, Nathan POLASKE",2014-02-24,2021-11-29,2023-03-23,2023-03-23,https://patents.google.com/patent/AU2021277605B2/en,
US-9164316-B2,"Color regulating device for illumination and apparatus using the same, and method of regulating color ","Planck Co., Ltd.","Chih-Yu Chao, Chiu-Chang Huang, Chieh-Hsiung Kuan, Vin-Cent Su",2011-11-14,2014-01-12,2015-10-20,2015-10-20,https://patents.google.com/patent/US9164316B2/en,https://patentimages.storage.googleapis.com/2f/7c/c3/9d18d70623f891/US09164316-20151020-D00000.png
JP-6567112-B2,Illumination method and light emitting device ,シチズン電子株式会社,"堀江　秀善, 秀善 堀江",2011-09-02,2018-03-07,2019-08-28,2019-08-28,https://patents.google.com/patent/JP6567112B2/en,
TW-I738835-B,"Data security guarantee system, method and device ",香港商阿里巴巴集團服務有限公司,付穎芳,2016-10-14,2017-08-02,2021-09-11,2021-09-11,https://patents.google.com/patent/TWI738835B/en,https://patentimages.storage.googleapis.com/20/71/49/04797e3ea845cc/106126104-A0202-14-0001-2.png
US-11031559-B2,Phenoxasiline based compounds for electronic application ,Udc Ireland Limited,"Soichi Watanabe, Christian Lennartz, Gerhard Wagenblast, Nicolle Langer, Junji Kido, Hisahiro SASABE, Masato Kimura",2012-11-06,2019-04-23,2021-06-08,2021-06-08,https://patents.google.com/patent/US11031559B2/en,
JP-7089296-B2,Recovery of hyperspectral data from images ,ビー．ジー．ネゲブ テクノロジーズ アンド アプリケーションズ リミテッド， アット ベン‐グリオン ユニバーシティー,"ベン－シャハル，オーハド, アラド，ボーズ",2016-09-06,2017-09-06,2022-06-22,2022-06-22,https://patents.google.com/patent/JP7089296B2/en,https://patentimages.storage.googleapis.com/34/07/15/1257d67d68c796/0007089296000010.png
CN-103081107-B,Porous and non-porous nanostructures ,得克萨斯州大学系统董事会,"M·费拉里, X·刘, C·基亚皮尼, J·R·法侯瑞",2010-03-09,2011-03-09,2017-02-08,2017-02-08,https://patents.google.com/patent/CN103081107B/en,
US-8862206-B2,"Extended interior methods and systems for spectral, optical, and photoacoustic imaging ","Virginia Tech Intellectual Properties, Inc.","Ge Wang, Yong Xu, Alexander Cong, Haiou Shen, Wenxiang Cong, Lin Yang, Yang Lu",2009-11-12,2010-11-12,2014-10-14,2014-10-14,https://patents.google.com/patent/US8862206B2/en,https://patentimages.storage.googleapis.com/ad/5c/75/d114255fbeeab4/US08862206-20141014-D00000.png
JP-7101669-B2,"Bisbenzofuran Condensation 2,8-diaminoindeno [1,2-B] Fluorene Derivatives and Related Compounds as Materials for Organic Electroluminescence Devices (OLEDs) ",メルク パテント ゲゼルシャフト ミット ベシュレンクテル ハフツング,"ルーベン、リンゲ, ララ－イザベル、ロドリゲス, セバスティアン、マイヤー, ホルガー、ハイル",2016-11-25,2017-11-22,2022-07-15,2022-07-15,https://patents.google.com/patent/JP7101669B2/en,
US-8502238-B2,"Nitride-composite semiconductor laser element, its manufacturing method, and semiconductor optical device ","Sharp Kabushiki Kaisha, Sumitomo Electric Industries, Ltd.","Shigetoshi Ito, Takayuki Yuasa, Yoshihiro Ueta, Mototaka Taneya, Zenpei Tani, Kensaku Motoki",2001-10-29,2012-11-28,2013-08-06,2013-08-06,https://patents.google.com/patent/US8502238B2/en,https://patentimages.storage.googleapis.com/74/ea/17/afa6312bab0c94/US08502238-20130806-D00000.png
US-2019245155-A1,"Methods, products, and systems relating to making, providing, and using nanocrystalline cellulose superlattice solar cells to produce electricity ",Stephan HEATH,Stephan HEATH,2018-01-24,2019-01-24,2019-08-08,,https://patents.google.com/patent/US20190245155A1/en,https://patentimages.storage.googleapis.com/c8/01/77/5ea2b67a2ee5cb/US20190245155A1-20190808-D00000.png
US-2019225521-A1,"Systems, apparatus, and/or methods for providing liquid treatment comprising at least one of disinfection, filtration and/or purification ",Stephan HEATH,Stephan HEATH,2018-01-24,2019-01-24,2019-07-25,,https://patents.google.com/patent/US20190225521A1/en,https://patentimages.storage.googleapis.com/81/0e/4c/dcefdbf350fb69/US20190225521A1-20190725-D00000.png
US-10730894-B2,Method for preparing inorganic/organic hybrid perovskite compound film ,Korean Research Institute Of Chemical Technology,"Sang Il Seok, Jun Hong Noh, Wook Seok YANG, Jang Won Seo, Nam Joong Jeon",2014-08-05,2015-08-03,2020-08-04,2020-08-04,https://patents.google.com/patent/US10730894B2/en,https://patentimages.storage.googleapis.com/13/e2/82/4ae9dd8973c16c/US10730894-20200804-D00001.png
US-9705282-B2,Multi-wavelength laser light source and wavelength multiplexing communication system ,Fujitsu Limited,"Kazumasa Takabayashi, Tsuyoshi Yamamoto",2015-05-12,2016-04-22,2017-07-11,2017-07-11,https://patents.google.com/patent/US9705282B2/en,https://patentimages.storage.googleapis.com/f3/e0/5b/77542f45432d8d/US09705282-20170711-D00000.png
JP-6925982-B2,Materials for electronic devices ,"メルク パテント ゲーエムベーハー, メルク  パテント  ゲーエムベーハー","プフィスター、ヨッヘン, ムジカ−フェルナウド、テレサ, モンテネグロ、エルビラ",2015-02-16,2016-01-19,2021-08-25,2021-08-25,https://patents.google.com/patent/JP6925982B2/en,
US-9829615-B2,"Luminance-enhancing film, optical sheet member, and liquid crystal display device ",Fujifilm Corporation,"Akiko Watano, Yukito Saitoh, Katsufumi Ohmuro, Mitsuyoshi Ichihashi, Hiroyuki Ishikawa, Kotaro Yasuda, Hideyuki Nishikawa, Yuki Matsuda, Wataru HOSHINO",2013-08-26,2016-02-24,2017-11-28,2017-11-28,https://patents.google.com/patent/US9829615B2/en,https://patentimages.storage.googleapis.com/f2/1c/87/56846ead5b4abe/US09829615-20171128-D00000.png
JP-7104822-B2,Image forming element and manufacturing method ,シャープ株式会社,勝次 井口,2015-12-01,2021-02-26,2022-07-21,2022-07-21,https://patents.google.com/patent/JP7104822B2/en,https://patentimages.storage.googleapis.com/6b/3b/79/72eb6a1d53b30a/0007104822000001.png
JP-6612869-B2,Micro LED device ,フェイスブック・テクノロジーズ・リミテッド・ライアビリティ・カンパニー,"ブレナン、ビンセント, パーシバル、クリストファー, ヒューズ、パドレイグ, プルシェ、アラン, オワイエ、セリーヌ",2014-11-24,2015-11-23,2019-11-27,2019-11-27,https://patents.google.com/patent/JP6612869B2/en,
JP-5812166-B2,Method for crystal growth of nitride semiconductor ,三菱化学株式会社,"堀江　秀善, 秀善 堀江, 栗原　香, 香 栗原",2007-11-21,2014-07-31,2015-11-11,2015-11-11,https://patents.google.com/patent/JP5812166B2/en,
WO-2018211377-A1,"Electronic device, light-emitting device, electronic apparatus, and illumination device ",株式会社半導体エネルギー研究所,"渡部剛吉, 瀬尾哲史",2017-05-19,2018-05-11,2018-11-22,,https://patents.google.com/patent/WO2018211377A1/en,https://patentimages.storage.googleapis.com/5c/29/3d/562bc410f5483a/JPOXMLDOC01-appb-D000037.png
WO-2020181923-A1,Tunnel tunneling prediction method and system based on tbm rock-machine parameter dynamic interaction mechanism ,山东大学,"李术才, 薛翊国, 曲传奇, 邱道宏, 陶宇帆, 李广坤, 苏茂鑫, 崔久华, 王鹏",2019-03-08,2020-01-17,2020-09-17,,https://patents.google.com/patent/WO2020181923A1/en,https://patentimages.storage.googleapis.com/18/44/f2/7b0a21ec20222a/PCTCN2020072864-appb-300001.png
JP-6961345-B2,Materials for electronic devices ,メルク パテント ゲーエムベーハー,"パルハム、アミア・ホサイン, マルティノバ、イリナ, ヤトシュ、アンヤ, エベルレ、トマス, クロエベル、ヨナス・バレンティン, プフルム、クリストフ",2013-07-30,2014-07-07,2021-11-05,2021-11-05,https://patents.google.com/patent/JP6961345B2/en,
KR-102140789-B1,"Evaluating apparatus for quality of crystal, and Apparatus and method for manufacturing semiconductor light emitting device which include the same ",삼성전자주식회사,"서종욱, 김병균, 윤석호, 이건훈, 이기원, 이도영, 이상돈",2014-02-17,2014-02-17,2020-08-03,2020-08-03,https://patents.google.com/patent/KR102140789B1/en,https://patentimages.storage.googleapis.com/d9/f8/a2/a048301902667e/112014015377776-pat00004.png
US-10971690-B2,"Solar cells, structures including organometallic halide perovskite monocrystalline films, and methods of preparation thereof ",King Abdullah University Of Science And Technology,"Osman M. BAKR, Wei Peng, Lingfei WANG",2015-08-24,2016-08-15,2021-04-06,2021-04-06,https://patents.google.com/patent/US10971690B2/en,https://patentimages.storage.googleapis.com/d1/0e/34/aed0fba5652207/US10971690-20210406-D00000.png
JP-2021192630-A,Delivery of biomolecules to immune cells ,"マサチューセッツ インスティテュート オブ テクノロジー, Massachusetts Institute Of Technology, プレジデント アンド フェローズ オブ ハーバード カレッジ, President & Fellows Of Harvard College","アーモン アール． シャレイ, R Sharei Armon, シャーリー マオ, Mao Shirley, ジョージ ハートウラロス, Hartoularos George, ソフィア リュー, Liu Sophia, メガン ヘイマン, Heimann Megan, パメラ バスト, Basto Pamela, グレゴリー スゼト, Szeto Gregory, シッダース ジュンジュンワラ, Jhunjhunwala Siddharth, ダレル アーバイン, Irvine Darrell, ロバート エス． ランガー, Robert S Langer, クラウス エフ． ジェンセン, F Jensen Klavs, アンドリアン アーリック エイチ． ヴォン, H Von Andrian Ulrich",2014-10-31,2021-09-10,2021-12-23,,https://patents.google.com/patent/JP2021192630A/en,https://patentimages.storage.googleapis.com/30/56/3b/5fb6694f1279e5/2021192630-9.png
JP-7100836-B2,Context initialization in entropy coding ,ジーイー ビデオ コンプレッション エルエルシー,"ゲオルゲ，バレリ, ブロス，ベンジャミン, キルヒホッファー，ハイナー, マルペ，デトレフ, ニュグエン，ツン, プライス，マティアス, ジークマン，ミーシャ, ステーゲマン，ヤン, ヴィーガント，トーマス",2011-06-16,2021-04-08,2022-07-14,2022-07-14,https://patents.google.com/patent/JP7100836B2/en,https://patentimages.storage.googleapis.com/77/03/79/61af6ea85d7733/0007100836000016.png
CN-102803947-B,Glucose sensor ,美敦力迷你迈德公司,"凯瑟琳·T·沃尔夫, 阿梅亚·S·坎塔克, 埃里克·艾伦·拉松, 丹尼尔·E·佩桑特兹, 席冬娟, 赵嘉宏, 拉吉夫·什哈",2010-03-16,2011-03-15,2014-12-17,2014-12-17,https://patents.google.com/patent/CN102803947B/en,
